item_id,date_id,cnt,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,cashback,sell_price
STORE_1_064,1,0,2011-01-29,11101,Saturday,1,1,2011,NoEvent,NoType,0,2.54
STORE_1_064,2,1,2011-01-30,11101,Sunday,2,1,2011,NoEvent,NoType,0,2.54
STORE_1_064,3,0,2011-01-31,11101,Monday,3,1,2011,NoEvent,NoType,0,2.54
STORE_1_064,4,0,2011-02-01,11101,Tuesday,4,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,5,0,2011-02-02,11101,Wednesday,5,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,6,0,2011-02-03,11101,Thursday,6,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,7,2,2011-02-04,11101,Friday,7,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,8,0,2011-02-05,11102,Saturday,1,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,9,1,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,1,2.54
STORE_1_064,10,0,2011-02-07,11102,Monday,3,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,11,0,2011-02-08,11102,Tuesday,4,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,12,2,2011-02-09,11102,Wednesday,5,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,13,0,2011-02-10,11102,Thursday,6,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,14,0,2011-02-11,11102,Friday,7,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,15,3,2011-02-12,11103,Saturday,1,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,16,2,2011-02-13,11103,Sunday,2,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,17,1,2011-02-14,11103,Monday,3,2,2011,ValentinesDay,Cultural,1,2.54
STORE_1_064,18,0,2011-02-15,11103,Tuesday,4,2,2011,NoEvent,NoType,1,2.54
STORE_1_064,19,0,2011-02-16,11103,Wednesday,5,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,20,0,2011-02-17,11103,Thursday,6,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,21,1,2011-02-18,11103,Friday,7,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,22,3,2011-02-19,11104,Saturday,1,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,23,1,2011-02-20,11104,Sunday,2,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,24,0,2011-02-21,11104,Monday,3,2,2011,PresidentsDay,National,0,2.54
STORE_1_064,25,1,2011-02-22,11104,Tuesday,4,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,26,0,2011-02-23,11104,Wednesday,5,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,27,0,2011-02-24,11104,Thursday,6,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,28,0,2011-02-25,11104,Friday,7,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,29,1,2011-02-26,11105,Saturday,1,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,30,0,2011-02-27,11105,Sunday,2,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,31,0,2011-02-28,11105,Monday,3,2,2011,NoEvent,NoType,0,2.54
STORE_1_064,32,0,2011-03-01,11105,Tuesday,4,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,33,0,2011-03-02,11105,Wednesday,5,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,34,2,2011-03-03,11105,Thursday,6,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,35,0,2011-03-04,11105,Friday,7,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,36,2,2011-03-05,11106,Saturday,1,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,37,2,2011-03-06,11106,Sunday,2,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,38,0,2011-03-07,11106,Monday,3,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,39,2,2011-03-08,11106,Tuesday,4,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,40,0,2011-03-09,11106,Wednesday,5,3,2011,LentStart,Religious,1,2.54
STORE_1_064,41,0,2011-03-10,11106,Thursday,6,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,42,1,2011-03-11,11106,Friday,7,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,43,1,2011-03-12,11107,Saturday,1,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,44,2,2011-03-13,11107,Sunday,2,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,45,1,2011-03-14,11107,Monday,3,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,46,0,2011-03-15,11107,Tuesday,4,3,2011,NoEvent,NoType,1,2.54
STORE_1_064,47,2,2011-03-16,11107,Wednesday,5,3,2011,LentWeek2,Religious,0,2.54
STORE_1_064,48,0,2011-03-17,11107,Thursday,6,3,2011,StPatricksDay,Cultural,0,2.54
STORE_1_064,49,2,2011-03-18,11107,Friday,7,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,50,6,2011-03-19,11108,Saturday,1,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,51,0,2011-03-20,11108,Sunday,2,3,2011,Purim End,Religious,0,2.54
STORE_1_064,52,0,2011-03-21,11108,Monday,3,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,53,0,2011-03-22,11108,Tuesday,4,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,54,0,2011-03-23,11108,Wednesday,5,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,55,0,2011-03-24,11108,Thursday,6,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,56,0,2011-03-25,11108,Friday,7,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,57,2,2011-03-26,11109,Saturday,1,3,2011,NoEvent,NoType,0,2.54
STORE_1_064,58,1,2011-03-27,11109,Sunday,2,3,2011,NoEvent,NoType,0,2.54
